Zonas  Turísticas;Periodo;Total
Andalucía: Costa De Almería;2007M08;4,07
Andalucía: Costa De Almería;2007M07;3,39
Andalucía: Costa De Almería;2007M06;2,91
Andalucía: Costa De Almería;2007M05;4,23
Andalucía: Costa De Almería;2007M04;5,41
Andalucía: Costa De Almería;2007M03;9,17
Andalucía: Costa De Almería;2007M02;15,79
Andalucía: Costa De Almería;2007M01;14,97
Andalucía: Costa De Almería;2006M12;13,21
Andalucía: Costa De Almería;2006M11;11,29
Andalucía: Costa De Almería;2006M10;4,78
Andalucía: Costa De Almería;2006M09;3,67
Andalucía: Costa De Almería;2006M08;4,78
Andalucía: Costa De Almería;2006M07;3,72
Andalucía: Costa De Almería;2006M06;2,71
Andalucía: Costa De Almería;2006M05;3,95
Andalucía: Costa De Almería;2006M04;3,54
Andalucía: Costa De Almería;2006M03;6,78
Andalucía: Costa De Almería;2006M02;7,45
Andalucía: Costa De Almería;2006M01;16,5
Andalucía: Costa De Almería;2005M12;9,43
Andalucía: Costa De Almería;2005M11;6,68
Andalucía: Costa De Almería;2005M10;5,76
Andalucía: Costa De Almería;2005M09;3,93
Andalucía: Costa De Almería;2005M08;4,92
Andalucía: Costa De Almería;2005M07;3,88
Andalucía: Costa De Almería;2005M06;3,19
Andalucía: Costa De Almería;2005M05;3,73
Andalucía: Costa De Almería;2005M04;5,35
Andalucía: Costa De Almería;2005M03;6,78
Andalucía: Costa De Almería;2005M02;14,18
Andalucía: Costa De Almería;2005M01;17,09
Andalucía: Costa De La Luz (Huelva);2021M11;6,13
Andalucía: Costa De La Luz (Huelva);2021M10;4,61
Andalucía: Costa De La Luz (Huelva);2021M09;3,89
Andalucía: Costa De La Luz (Huelva);2021M08;6,66
Andalucía: Costa De La Luz (Huelva);2021M07;5,55
Andalucía: Costa De La Luz (Huelva);2021M06;3,95
Andalucía: Costa De La Luz (Huelva);2021M05;3,42
Andalucía: Costa De La Luz (Huelva);2021M04;7,24
Andalucía: Costa De La Luz (Huelva);2021M03;5,38
Andalucía: Costa De La Luz (Huelva);2021M02;5,27
Andalucía: Costa De La Luz (Huelva);2021M01;2,8
Andalucía: Costa De La Luz (Huelva);2020M12;3
Andalucía: Costa De La Luz (Huelva);2020M11;5,07
Andalucía: Costa De La Luz (Huelva);2020M10;2,91
Andalucía: Costa De La Luz (Huelva);2020M09;4,17
Andalucía: Costa De La Luz (Huelva);2020M08;4,31
Andalucía: Costa De La Luz (Huelva);2020M07;4,36
Andalucía: Costa De La Luz (Huelva);2020M06;.
Andalucía: Costa De La Luz (Huelva);2020M05;.
Andalucía: Costa De La Luz (Huelva);2020M04;0
Andalucía: Costa De La Luz (Huelva);2020M03;.
Andalucía: Costa De La Luz (Huelva);2020M02;2,53
Andalucía: Costa De La Luz (Huelva);2020M01;2,77
Andalucía: Costa De La Luz (Huelva);2019M12;3,42
Andalucía: Costa De La Luz (Huelva);2019M11;2,8
Andalucía: Costa De La Luz (Huelva);2019M10;3,07
Andalucía: Costa De La Luz (Huelva);2019M09;4,28
Andalucía: Costa De La Luz (Huelva);2019M08;4,98
Andalucía: Costa De La Luz (Huelva);2019M07;4,53
Andalucía: Costa De La Luz (Huelva);2019M06;3,04
Andalucía: Costa De La Luz (Huelva);2019M05;2,94
Andalucía: Costa De La Luz (Huelva);2019M04;4,08
Andalucía: Costa De La Luz (Huelva);2019M03;3,41
Andalucía: Costa De La Luz (Huelva);2019M02;3,09
Andalucía: Costa De La Luz (Huelva);2019M01;2,92
Andalucía: Costa De La Luz (Huelva);2018M12;3,14
Andalucía: Costa De La Luz (Huelva);2018M11;2,99
Andalucía: Costa De La Luz (Huelva);2018M10;5,25
Andalucía: Costa De La Luz (Huelva);2018M09;4,41
Andalucía: Costa De La Luz (Huelva);2018M08;4,36
Andalucía: Costa De La Luz (Huelva);2018M07;4,2
Andalucía: Costa De La Luz (Huelva);2018M06;3,26
Andalucía: Costa De La Luz (Huelva);2018M05;3,26
Andalucía: Costa De La Luz (Huelva);2018M04;2,92
Andalucía: Costa De La Luz (Huelva);2018M03;3,15
Andalucía: Costa De La Luz (Huelva);2018M02;3,33
Andalucía: Costa De La Luz (Huelva);2018M01;3,02
Andalucía: Costa De La Luz (Huelva);2017M12;3,81
Andalucía: Costa De La Luz (Huelva);2017M11;3,22
Andalucía: Costa De La Luz (Huelva);2017M10;6,45
Andalucía: Costa De La Luz (Huelva);2017M09;4,82
Andalucía: Costa De La Luz (Huelva);2017M08;4,94
Andalucía: Costa De La Luz (Huelva);2017M07;5,51
Andalucía: Costa De La Luz (Huelva);2017M06;4,63
Andalucía: Costa De La Luz (Huelva);2017M05;3,52
Andalucía: Costa De La Luz (Huelva);2017M04;3,3
Andalucía: Costa De La Luz (Huelva);2017M03;3,95
Andalucía: Costa De La Luz (Huelva);2017M02;3,63
Andalucía: Costa De La Luz (Huelva);2017M01;3,69
Andalucía: Costa De La Luz (Huelva);2016M12;3,27
Andalucía: Costa De La Luz (Huelva);2016M11;3,35
Andalucía: Costa De La Luz (Huelva);2016M10;6,38
Andalucía: Costa De La Luz (Huelva);2016M09;4,04
Andalucía: Costa De La Luz (Huelva);2016M08;4,33
Andalucía: Costa De La Luz (Huelva);2016M07;3,65
Andalucía: Costa De La Luz (Huelva);2016M06;3,01
Andalucía: Costa De La Luz (Huelva);2016M05;3,71
Andalucía: Costa De La Luz (Huelva);2016M04;3,39
Andalucía: Costa De La Luz (Huelva);2016M03;3,25
Andalucía: Costa De La Luz (Huelva);2016M02;3,56
Andalucía: Costa De La Luz (Huelva);2016M01;3,74
Andalucía: Costa De La Luz (Huelva);2015M12;4,32
Andalucía: Costa De La Luz (Huelva);2015M11;2,94
Andalucía: Costa De La Luz (Huelva);2015M10;7,18
Andalucía: Costa De La Luz (Huelva);2015M09;4,84
Andalucía: Costa De La Luz (Huelva);2015M08;4,2
Andalucía: Costa De La Luz (Huelva);2015M07;3,52
Andalucía: Costa De La Luz (Huelva);2015M06;3,33
Andalucía: Costa De La Luz (Huelva);2015M05;3,7
Andalucía: Costa De La Luz (Huelva);2015M04;4,06
Andalucía: Costa De La Luz (Huelva);2015M03;4,67
Andalucía: Costa De La Luz (Huelva);2015M02;4,77
Andalucía: Costa De La Luz (Huelva);2015M01;2,52
Andalucía: Costa De La Luz (Huelva);2014M12;2,99
Andalucía: Costa De La Luz (Huelva);2014M11;2,83
Andalucía: Costa De La Luz (Huelva);2014M10;7,08
Andalucía: Costa De La Luz (Huelva);2014M09;4,96
Andalucía: Costa De La Luz (Huelva);2014M08;4,13
Andalucía: Costa De La Luz (Huelva);2014M07;3,92
Andalucía: Costa De La Luz (Huelva);2014M06;3,84
Andalucía: Costa De La Luz (Huelva);2014M05;3,88
Andalucía: Costa De La Luz (Huelva);2014M04;4,97
Andalucía: Costa De La Luz (Huelva);2014M03;3,67
Andalucía: Costa De La Luz (Huelva);2014M02;3,56
Andalucía: Costa De La Luz (Huelva);2014M01;3,6
Andalucía: Costa De La Luz (Huelva);2013M12;5,57
Andalucía: Costa De La Luz (Huelva);2013M11;4,81
Andalucía: Costa De La Luz (Huelva);2013M10;7,05
Andalucía: Costa De La Luz (Huelva);2013M09;5,47
Andalucía: Costa De La Luz (Huelva);2013M08;4,13
Andalucía: Costa De La Luz (Huelva);2013M07;3,82
Andalucía: Costa De La Luz (Huelva);2013M06;3,79
Andalucía: Costa De La Luz (Huelva);2013M05;4,27
Andalucía: Costa De La Luz (Huelva);2013M04;2,67
Andalucía: Costa De La Luz (Huelva);2013M03;9,91
Andalucía: Costa De La Luz (Huelva);2013M02;5,24
Andalucía: Costa De La Luz (Huelva);2013M01;5,71
Andalucía: Costa De La Luz (Huelva);2012M12;8,57
Andalucía: Costa De La Luz (Huelva);2012M11;9,9
Andalucía: Costa De La Luz (Huelva);2012M10;14,73
Andalucía: Costa De La Luz (Huelva);2012M09;6,84
Andalucía: Costa De La Luz (Huelva);2012M08;4,94
Andalucía: Costa De La Luz (Huelva);2012M07;4,47
Andalucía: Costa De La Luz (Huelva);2012M06;4,17
Andalucía: Costa De La Luz (Huelva);2012M05;6,18
Andalucía: Costa De La Luz (Huelva);2012M04;8,32
Andalucía: Costa De La Luz (Huelva);2012M03;7,05
Andalucía: Costa De La Luz (Huelva);2012M02;5,46
Andalucía: Costa De La Luz (Huelva);2012M01;3,74
Andalucía: Costa De La Luz (Huelva);2011M12;5,05
Andalucía: Costa De La Luz (Huelva);2011M11;5,05
Andalucía: Costa De La Luz (Huelva);2011M10;2,61
Andalucía: Costa De La Luz (Huelva);2011M09;6,38
Andalucía: Costa De La Luz (Huelva);2011M08;5,15
Andalucía: Costa De La Luz (Huelva);2011M07;3,99
Andalucía: Costa De La Luz (Huelva);2011M06;4,67
Andalucía: Costa De La Luz (Huelva);2011M05;5,96
Andalucía: Costa De La Luz (Huelva);2011M04;5,28
Andalucía: Costa De La Luz (Huelva);2011M03;4,18
